frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
1,1,0,car,0.8058,592,195,666,240
1,2,0,car,0.7878,50,201,111,252
1,3,0,car,0.7868,417,200,483,238
1,4,0,car,0.781,895,268,957,317
1,5,0,car,0.7765,525,180,587,214
1,6,0,car,0.7508,36,186,70,218
1,7,0,car,0.7437,593,127,645,161
1,8,0,car,0.4488,973,212,1001,256
1,9,0,car,0.3121,782,125,837,158
1,10,0,car,0.3097,973,20,1002,42
2,1,0,car,0.7968,921,274,985,322
2,2,0,car,0.796,627,192,694,239
2,3,0,car,0.7851,432,200,497,238
2,4,0,car,0.7724,537,183,601,215
2,5,0,car,0.7667,78,194,133,245
2,6,0,car,0.7548,607,131,663,161
2,7,0,car,0.7142,64,181,95,210
3,1,0,car,0.7931,637,191,710,237
3,2,0,car,0.787,436,201,505,239
3,3,0,car,0.7701,547,183,608,218
3,4,0,car,0.7638,932,276,1002,327
3,5,0,car,0.7599,94,194,153,240
3,6,0,car,0.7523,616,133,672,163
3,7,0,car,0.6926,76,177,108,206
4,1,0,car,0.7914,637,191,710,237
4,2,0,car,0.7867,436,201,505,239
4,3,0,car,0.7698,546,183,608,218
4,4,0,car,0.7598,93,194,152,240
4,5,0,car,0.7585,932,276,1002,327
4,6,0,car,0.7529,616,133,672,163
4,7,0,car,0.6945,76,177,107,207
5,1,0,car,0.7966,654,190,727,238
5,2,0,car,0.7797,445,201,514,240
5,3,0,car,0.7679,555,185,619,218
5,4,0,car,0.7445,107,191,166,237
5,5,0,car,0.7347,950,280,1002,332
5,6,0,car,0.7343,628,134,685,165
5,7,0,car,0.6866,93,174,125,201
6,1,0,car,0.7888,691,190,760,237
6,2,0,car,0.7831,464,204,532,241
6,3,0,car,0.7786,0,216,45,261
6,4,0,car,0.7782,571,188,639,221
6,5,0,car,0.7528,645,139,703,168
6,6,0,car,0.7373,138,182,189,232
6,7,0,car,0.6801,122,169,153,197
6,8,0,car,0.295,986,292,1002,346
7,1,0,car,0.7903,705,190,782,238
7,2,0,car,0.7842,473,204,541,242
7,3,0,car,0.769,583,190,649,225
7,4,0,car,0.7545,657,141,710,170
7,5,0,car,0.7268,155,181,203,230
7,6,0,car,0.6426,141,167,168,195
7,7,0,car,0.2892,0,215,45,259
8,1,0,car,0.7896,725,190,799,238
8,2,0,car,0.7813,594,191,656,225
8,3,0,car,0.7813,480,205,552,243
8,4,0,car,0.7425,671,142,724,173
